source_id,l,b,distance,X,Y,Z,Vzprime,R,pm_b,pm_l
Ruprecht_77,276.488,-3.097,4.108,0.463505795683183,-4.075729009176025,-0.22194096370073016,-11.357324474325807,8.869129198300243,-0.8672854193338269,-7.885886838549253
Ruprecht_8,226.153,-3.901,2.251,-1.5557335748534435,-1.6196423578480033,-0.15314160256676307,-12.840726512320366,10.027840785610756,-1.5550338897029539,0.8062541458513472
Ruprecht_82,277.724,-0.484,2.201,0.2958062088220575,-2.18095252055152,-0.01859249236550421,-1.571957153668749,8.33462244270786,-0.8324556452987621,-7.728154169877975
Ruprecht_84,285.325,-8.825,1.732,0.4523380354203107,-1.6506386892190024,-0.2657182647857931,-5.486594960468157,8.059327324036953,-1.4186600393200648,-7.902327469188997
Ruprecht_91,286.903,1.492,1.07,0.3109999400912595,-1.0234270714997367,0.027859986219947966,-7.575994728709656,8.093833308349707,-2.9571451308866497,-11.049279086595973
Ruprecht_93,290.444,-1.129,2.15,0.7508309721533322,-2.0141893354922047,-0.04236250847999641,10.004884799702705,7.852003144171051,0.2675252259115752,-7.117876324258262
Ruprecht_94,294.089,-1.943,2.244,0.9153731253544107,-2.0473981473017235,-0.07608337190474339,-5.487238024986675,7.701949949615303,-1.218536059592488,-6.307567845056768
Ruprecht_96,295.899,-0.101,3.28,1.432655367508944,-2.950570280407154,-0.005781923793785757,-0.4482861073577843,7.511130347911183,-0.4966551059182137,-5.527571937621563
Ruprecht_97,296.791,-0.481,3.89,1.753305290657045,-3.4723126212995727,-0.03265629911973594,-9.605421002398177,7.445971607835695,-0.9211483594918394,-6.4349754869959845
Ruprecht_98,297.326,-2.283,0.506,0.23209612099532376,-0.44917822890732484,-0.020156672342244778,-15.23809702531002,8.120359724979519,-9.286366952115628,-2.2803066287403078
SAI_118,308.743,-0.861,1.829,1.1445109934385684,-1.4263871174698195,-0.02748386909147694,-4.685404136905724,7.335557343487,-1.4100984799686016,-4.778352117426692
SAI_132,68.116,1.44,3.118,1.161801251419775,2.8924042656889335,0.0783556400747496,5.4062376414723605,7.738754019129019,-0.11961714054706968,-4.76852202220759
SAI_149,114.022,-1.054,3.426,-1.3944456429683,3.128742014567396,-0.06302035682988817,0.5357391715398565,10.225037293018795,-0.47414980423311076,-4.202341233103336
SAI_24,138.013,1.493,2.248,-1.670363538059931,1.5033158822207768,0.058571228313505565,6.45278569921269,10.1223746423975,0.005837468405433838,-0.23100416562638
SAI_4,119.745,0.013,3.226,-1.6005502590568332,2.8009489084599735,0.0007319562064189814,3.9692480141938886,10.327571249377963,-0.21378663574680984,-3.136386606021594
SAI_47,166.373,3.551,4.683,-4.54243604136195,1.1011971337351458,0.29005086544250347,3.881990637976286,12.92841268847554,-0.11191023551832807,0.32888464799833883
SAI_81,244.585,-0.54,4.646,-1.9938424627336542,-4.196187566457903,-0.04378687241974247,1.8239422342156912,11.153392513407379,-0.21322963732255182,-3.5543885721542265
