x,y,z
-960.9535395326611,-873.1002127530435,-16.741799777931277
-960.110026533779,-872.6579637355767,-16.832521895434297
-959.2665135348968,-872.2142126121162,-16.923885577355655
-958.4230005360147,-871.7689593826613,-17.01589240508479
-957.5794875371325,-871.3222040472119,-17.108543961318297
-956.7359745382505,-870.8739466057687,-17.201841830018452
-955.8924615393682,-870.4241870583314,-17.295787596371255
-955.0489485404862,-869.9729254048996,-17.390382846743854
-954.2054355416041,-869.5201616454738,-17.48562916864121
-953.3619225427219,-869.0658957800538,-17.58152815066297
-952.5184095438398,-868.6101278086394,-17.678081382459325
-951.6748965449576,-868.1528577312308,-17.775290454686548
-950.8313835460755,-867.6940855478283,-17.87315695896202
-949.9878705471933,-867.2338112584316,-17.971682487818867
-949.1443575483112,-866.7720348630405,-18.0708686346602
-948.300844549429,-866.3087563616552,-18.170716993712347
-947.457331550547,-865.843975754276,-18.271229159978148
-946.6138185516648,-865.3776930409024,-18.37240672918952
-945.7703055527827,-864.9099082215348,-18.4742512977595
-944.9267925539006,-864.4406212961726,-18.576764462733877
-944.0832795550184,-863.9698322648167,-18.67994782174211
-943.2397665561363,-863.4975411274663,-18.78380297294798
-942.3962535572541,-863.0237478841216,-18.88833151499945
-941.552740558372,-862.5484525347829,-18.993535046978188
-940.7092275594898,-862.0716550794502,-19.09941516834872
-939.8657145606078,-861.5933555181232,-19.205973478906515
-939.0222015617256,-861.1135538508017,-19.313211578725912
-938.1786885628435,-860.6322500774863,-19.421131068107492
-937.3351755639613,-860.1494441981768,-19.52973354752512
-936.4916625650792,-859.6651362128728,-19.639020617571475
-935.648149566197,-859.1793261215748,-19.748993878904407
-934.8046365673149,-858.6920139242827,-19.859654932191567
-933.9611235684328,-858.203199620996,-19.97100537805518
-933.1176105695506,-857.7128832117153,-20.08304681701577
-932.2740975706685,-857.2210646964409,-20.195780849435828
-931.4305845717863,-856.7277440751716,-20.309209075462334
-930.5870715729042,-856.2329213479084,-20.423333094969088
-929.7435585740221,-855.7365965146512,-20.538154507498355
-928.90004557514,-855.2387695753998,-20.65367491220178
-928.0565325762578,-854.7394405301538,-20.76989590778104
